"fac","subj","crsnum","longtitle"
"AP","ADMS",1000,"Introduction to Administrative Studies"
"AP","ADMS",1010,"Business in the Canadian Context"
"AP","ADMS",1500,"An Introduction to Accounting: The Analysis and Use of Financial Information"
"AP","ADMS",2200,"Introductory Marketing"
"AP","ADMS",2300,"Quantitative Research Methods in Health Studies"
"AP","ADMS",2320,"Quantitative Methods I"
"AP","ADMS",2400,"Introduction to Organizational Behaviour"
"AP","ADMS",2500,"Introduction to Financial Accounting"
"AP","ADMS",2510,"Introduction to Management Accounting"
"AP","ADMS",2511,"Management Information Systems"
"AP","ADMS",2610,"Elements of Law: Part One"
"AP","ADMS",2700,"Fundamentals of Emergency Management"
"AP","ADMS",3000,"Directed Reading"
"AP","ADMS",3000,"Directed Reading"
"AP","ADMS",3010,"Internship Work Term"
"AP","ADMS",3015,"Professional Communication in the Canadian Context"
"AP","ADMS",3020,"Canadian Business Culture and Management Skills"
"AP","ADMS",3040,"Management Skills for IT Professionals in Canada"
"AP","ADMS",3060,"Fundamentals of Canadian Business Law and Ethics"
"AP","ADMS",3120,"Gender Issues in Management"
"AP","ADMS",3210,"Consumer Behaviour"
"AP","ADMS",3220,"Applied Marketing Management"
"AP","ADMS",3300,"Decision Analysis"
"AP","ADMS",3330,"Quantitative Methods II"
"AP","ADMS",3331,"Introduction to Operations Research"
"AP","ADMS",3345,"Systems Thinking and Modeling for Management"
"AP","ADMS",3351,"Operations Management"
"AP","ADMS",3352,"Sampling Techniques and Survey Design"
"AP","ADMS",3353,"Project Management"
"AP","ADMS",3360,"Physical Distribution and Transportation"
"AP","ADMS",3502,"Enterprise Resource Planning Systems"
"AP","ADMS",3510,"Managerial Cost Accounting and Analysis"
"AP","ADMS",3520,"An Overview of Canadian Income Taxation"
"AP","ADMS",3521,"Management of Electronic Commerce Systems"
"AP","ADMS",3524,"Public Sector Budget Process"
"AP","ADMS",3525,"Health Services Accounting"
"AP","ADMS",3526,"Health Services Finance"
"AP","ADMS",3530,"Finance"
"AP","ADMS",3531,"Personal Investment Management"
"AP","ADMS",3541,"Personal Financial Planning"
"AP","ADMS",3585,"Intermediate Financial Accounting I"
"AP","ADMS",3595,"Intermediate Financial Accounting II"
"AP","ADMS",3620,"Elements of Law: Part Two"
"AP","ADMS",3660,"Business Ethics and Corporate Social Responsibility"
"AP","ADMS",3701,"Disaster Risk Management"
"AP","ADMS",3702,"Comprehensive Emergency Management: Integrating Critical Knowledge with Practice"
"AP","ADMS",3703,"Business Continuity Planning"
"AP","ADMS",3704,"Emergency Management Communications"
"AP","ADMS",3705,"Emergency Management: Field Experience"
"AP","ADMS",3706,"Disasters and Humans"
"AP","ADMS",3707,"Ethics: Society, the Environment and Disasters"
"AP","ADMS",3708,"Social Issues in Disaster Management"
"AP","ADMS",3810,"Introduction to Real Estate"
"AP","ADMS",3820,"Real Estate Law I"
"AP","ADMS",3900,"The Practice of General Management"
"AP","ADMS",3920,"New Venture and Small Business Management"
"AP","ADMS",3930,"Management"
"AP","ADMS",3960,"International Business"
"AP","ADMS",4000,"Directed Reading"
"AP","ADMS",4000,"Directed Reading"
"AP","ADMS",4010,"Organization and Administrative Theory"
"AP","ADMS",4210,"International Marketing"
"AP","ADMS",4215,"Business to Business Marketing"
"AP","ADMS",4225,"Retailing Management"
"AP","ADMS",4230,"Marketing Channels"
"AP","ADMS",4235,"New Product Management"
"AP","ADMS",4240,"Advertising and Communications"
"AP","ADMS",4245,"E-Marketing"
"AP","ADMS",4250,"Marketing Strategy"
"AP","ADMS",4255,"Customer Relationship Management"
"AP","ADMS",4260,"Marketing Research I"
"AP","ADMS",4265,"Marketing Research II"
"AP","ADMS",4275,"Services Marketing"
